N-Gram,2020,2021,2022,2023,2024,2025,Total
synthetic control treatment effect,2,0,0,0,0,0,2
synthetic control treatment effect estimates,2,0,0,0,0,0,2
system citizenship,0,2,0,0,0,0,2
system provide,0,0,2,0,0,0,2
system subsystem,0,0,0,0,2,0,2
systematic review,0,0,0,2,0,0,2
systematic review metaanalysis,0,0,0,2,0,0,2
systemic risks,0,0,0,2,0,0,2
systemic shocks,0,0,0,0,2,0,2
systemic vulnerability,0,0,0,0,0,2,2
systems infrastructure,0,0,0,0,0,2,2
teachers gender stereotypes,0,0,2,0,0,0,2
systems new,0,2,0,0,0,0,2
taking values,0,0,0,0,2,0,2
tangible intangible,0,0,0,2,0,0,2
targeted advertising platforms,0,0,0,0,0,2,2
targeted maximum,0,0,0,0,0,2,2
targeted maximum likelihood,0,0,0,0,0,2,2
targeted maximum likelihood estimation,0,0,0,0,0,2,2
targeted maximum likelihood estimation tmle,0,0,0,0,0,2,2
task archetypes,0,0,0,0,0,2,2
task instructions,0,0,0,2,0,0,2
tasklevel skills,0,0,0,0,0,2,2
tax increases,0,0,0,0,0,2,2
tax marginal,0,0,2,0,0,0,2
unbalanced unlabelled,0,0,0,2,0,0,2
unbalanced unlabelled financial,0,0,0,2,0,0,2
unbalanced unlabelled financial data,0,0,0,2,0,0,2
variable regression,0,2,0,0,0,0,2
volumes disruptions,0,0,0,0,2,0,2
volumes market,0,0,0,0,2,0,2
volunteer receives,2,0,0,0,0,0,2
volunteer receives positive,2,0,0,0,0,0,2
vote share,0,0,0,0,2,0,2
vote share exceeds,0,0,0,0,2,0,2
voters expected,0,0,0,0,2,0,2
voters expected utility,0,0,0,0,2,0,2
voting method satisfying,0,0,0,2,0,0,2
voting rights,0,0,0,0,0,2,2
voting rights act,0,0,0,0,0,2,2
voting theory,0,0,0,2,0,0,2
vre penetration,2,0,0,0,0,0,2
wage growth premium,0,0,0,0,0,2,2
wage human,0,2,0,0,0,0,2
wage human drivers,0,2,0,0,0,0,2
wage premium,0,0,0,2,0,0,2
waste management,0,0,0,0,2,0,2
water use,0,0,0,0,0,2,2
water utility,0,0,0,2,0,0,2
weak identification bounds,2,0,0,0,0,0,2
weak preferences,0,0,0,0,2,0,2
weakly identified,2,0,0,0,0,0,2
weakly improves,0,0,2,0,0,0,2
weakly ordered,0,0,2,0,0,0,2
weakly ordered topological,0,0,2,0,0,0,2
weakly ordered topological space,0,0,2,0,0,0,2
weakly strategyproof sdss,0,0,0,0,2,0,2
wealth autocrats,0,2,0,0,0,0,2
volatilitymanaged portfolios,0,0,2,0,0,0,2
volatility targeting,0,0,2,0,0,0,2
vnm stable set,0,0,2,0,0,0,2
vehicles forhire,0,2,0,0,0,0,2
variance decompositions,0,0,0,0,0,2,2
variances unknown,0,0,0,2,0,0,2
variational method,2,0,0,0,0,0,2
variational method moments,2,0,0,0,0,0,2
various classes,0,2,0,0,0,0,2
various measures,0,0,2,0,0,0,2
vector autoregression,0,0,0,0,0,2,2
vector autoregressions vars,0,0,0,0,0,2,2
vector autoregressive,0,2,0,0,0,0,2
vector error,0,0,0,2,0,0,2
vector error correction,0,0,0,2,0,0,2
vector error correction model,0,0,0,2,0,0,2
vectorspace models,0,0,0,0,2,0,2
vehicles forhire human,0,2,0,0,0,0,2
vnm stable,0,0,2,0,0,0,2
vehicles forhire human drivers,0,2,0,0,0,0,2
venezuelan migration,0,0,0,0,2,0,2
venture capital,0,0,0,2,0,0,2
venture capital investments,0,0,0,2,0,0,2
via marginal,2,0,0,0,0,0,2
via marginal treatment,2,0,0,0,0,0,2
via semisupervised,0,0,0,2,0,0,2
via semisupervised learning,0,0,0,2,0,0,2
violations parallel,0,0,0,0,0,2,2
violations parallel trends,0,0,0,0,0,2,2
violence health,0,2,0,0,0,0,2
violence health human,0,2,0,0,0,0,2
violence health human capital,0,2,0,0,0,0,2
wealth index,2,0,0,0,0,0,2
wealth nations,2,0,0,0,0,0,2
wealth nations health,2,0,0,0,0,0,2
without compromising,0,0,0,0,0,2,2
within commercial,0,0,0,0,2,0,2
within commercial building,0,0,0,0,2,0,2
within commercial building sector,0,0,0,0,2,0,2
within community,0,0,0,2,0,0,2
within countries,0,0,0,2,0,0,2
within financial,0,0,0,2,0,0,2
within household,0,2,0,0,0,0,2
within research,0,0,0,0,0,2,2
within research design,0,0,0,0,0,2,2
within value,0,0,0,0,2,0,2
within value chain,0,0,0,0,2,0,2
within value chain social,0,0,0,0,2,0,2
within value chain social media,0,0,0,0,2,0,2
work consider,0,0,2,0,0,0,2
win percentage model,0,2,0,0,0,0,2
work paper,0,2,0,0,0,0,2
working age,0,2,0,0,0,0,2
working environment,0,2,0,0,0,0,2
world diminishing,2,0,0,0,0,0,2
world diminishing transport,2,0,0,0,0,0,2
world diminishing transport costs,2,0,0,0,0,0,2
years older,0,0,2,0,0,0,2
young nonwhite,0,0,2,0,0,0,2
younger adults,0,0,0,0,0,2,2
zero coskewness,0,0,0,0,2,0,2
zero results,0,0,0,0,0,2,2
zeroinflated bandits,0,0,0,2,0,0,2
zones within,0,0,0,2,0,0,2
winning coalitions,0,0,0,2,0,0,2
willingness pay,0,0,0,0,0,2,2
wealth nations health populations,2,0,0,0,0,0,2
welfare value functionals,0,0,0,0,0,2,2
wealthy individuals,0,2,0,0,0,0,2
weather events,2,0,0,0,0,0,2
weather hazards,0,0,0,0,2,0,2
weather metrics,2,0,0,0,0,0,2
weather scenarios,0,0,0,0,2,0,2
webbased interactive,2,0,0,0,0,0,2
webbased interactive experiment,2,0,0,0,0,0,2
weighted sum,2,0,0,0,0,0,2
weighting function,0,0,0,0,2,0,2
welfare improvement,0,0,0,0,0,2,2
welfare loss,2,0,0,0,0,0,2
welfare maximization,0,0,0,0,0,2,2
welfare value,0,0,0,0,0,2,2
welfarist rule,0,0,0,0,2,0,2
widely applied,0,2,0,0,0,0,2
welfarist rules,0,0,0,0,2,0,2
well known,0,0,2,0,0,0,2
well token,2,0,0,0,0,0,2
wellbeing indicator,2,0,0,0,0,0,2
wellbeing job,0,0,0,2,0,0,2
wellbeing job performance,0,0,0,2,0,0,2
whereas optimal,0,0,0,0,2,0,2
whereas optimal unrestricted,0,0,0,0,2,0,2
whereas optimal unrestricted signals,0,0,0,0,2,0,2
whereas optimal unrestricted signals may,0,0,0,0,2,0,2
whether accounting,2,0,0,0,0,0,2
whether accounting numbers,2,0,0,0,0,0,2
whitecollar work,0,0,0,0,0,2,2
variable renewables,2,0,0,0,0,0,2
variable models,0,0,0,2,0,0,2
unbiased estimate,0,0,0,0,2,0,2
variable estimated value positive significant,0,0,2,0,0,0,2
unrestricted signals may,0,0,0,0,2,0,2
unrestricted signals may require,0,0,0,0,2,0,2
updating ambiguous,2,0,0,0,0,0,2
updating ambiguous information,2,0,0,0,0,0,2
updating decisionmaking,0,0,0,2,0,0,2
upper bound,0,0,0,0,2,0,2
upper frechet,0,0,0,0,2,0,2
upper frechet bound,0,0,0,0,2,0,2
upper tail,0,0,0,0,2,0,2
upperlevel problem,0,0,0,0,0,2,2
urban areas,0,0,2,0,0,0,2
urban centrality,0,0,2,0,0,0,2
urban development,0,0,0,0,2,0,2
urban locations,0,0,2,0,0,0,2
urban planning,0,0,0,0,0,2,2
urban poverty,0,0,0,0,2,0,2
urban suburban regions,0,0,0,0,2,0,2
urban wage growth,0,0,0,0,0,2,2
urban wage growth premium,0,0,0,0,0,2,2
usage industry,0,0,0,0,2,0,2
usage industry technologies,0,0,0,0,2,0,2
usd per person,0,0,0,2,0,0,2
use artificial,0,0,2,0,0,0,2
use artificial intelligence,0,0,2,0,0,0,2
use artificial intelligence online,0,0,2,0,0,0,2
use artificial intelligence online shopping,0,0,2,0,0,0,2
use fdi urbanization,0,0,0,0,2,0,2
use marketbased,0,0,0,0,2,0,2
use marketbased correlations,0,0,0,0,2,0,2
unlike existing,0,0,0,0,0,2,2
unlabelled financial data,0,0,0,2,0,0,2
unlabelled financial,0,0,0,2,0,0,2
unified theory causal,0,0,0,0,0,2,2
unbiased estimate att,0,0,0,0,2,0,2
unbiased estimators,0,0,2,0,0,0,2
uncertainty unawareness,2,0,0,0,0,0,2
unconfoundedness assumption,2,0,0,0,0,0,2
unconventional monetary,2,0,0,0,0,0,2
unconventional monetary policy,2,0,0,0,0,0,2
underground work,0,2,0,0,0,0,2
underlying estimation,0,2,0,0,0,0,2
underlying solution,0,0,0,0,0,2,2
understanding human,0,0,0,0,2,0,2
understanding human work,0,0,0,0,2,0,2
unemployment rates,0,0,0,0,0,2,2
unified theory,0,0,0,0,0,2,2
unified theory causal inference,0,0,0,0,0,2,2
unknown variances,0,0,0,2,0,0,2
uniform convergence rates,2,0,0,0,0,0,2
uniform risk,0,0,0,0,2,0,2
uniform risk convergence,0,0,0,0,2,0,2
uniform rule,0,0,0,0,2,0,2
uniformly selfjustified,0,2,0,0,0,0,2
uniformly selfjustified equilibria,0,2,0,0,0,0,2
units individuals,0,2,0,0,0,0,2
universities shaping,0,2,0,0,0,0,2
universities shaping regional,0,2,0,0,0,0,2
universities shaping regional innovation,0,2,0,0,0,0,2
universities shaping regional innovation policy,0,2,0,0,0,0,2
university scale,0,0,2,0,0,0,2
university students,0,0,0,2,0,0,2
use marketbased correlations prices,0,0,0,0,2,0,2
use marketbased correlations prices returns,0,0,0,0,2,0,2
use practice,2,0,0,0,0,0,2
value chain social media,0,0,0,0,2,0,2
using two,0,2,0,0,0,0,2
utilitarian welfare,0,0,0,0,2,0,2
utility maximization,0,0,0,2,0,0,2
valid causal,0,2,0,0,0,0,2
valuable tool,0,0,0,2,0,0,2
valuation methods,2,0,0,0,0,0,2
valuation model,2,0,0,0,0,0,2
value agreement,2,0,0,0,0,0,2
value catonsville,2,0,0,0,0,0,2
value catonsville maryland,2,0,0,0,0,0,2
value catonsville maryland comparison,2,0,0,0,0,0,2
value catonsville maryland comparison multiple,2,0,0,0,0,0,2
value chain social,0,0,0,0,2,0,2
value chain social media industry,0,0,0,0,2,0,2
using simple multiple linear regressions,0,0,2,0,0,0,2
value function,0,2,0,0,0,0,2
value positive,0,0,2,0,0,0,2
value positive significant,0,0,2,0,0,0,2
value positive significant impact,0,0,2,0,0,0,2
value positive significant impact environmental,0,0,2,0,0,0,2
value status,0,0,0,0,2,0,2
value status quo,0,0,0,0,2,0,2
value status quo welfare,0,0,0,0,2,0,2
valuebased management,2,0,0,0,0,0,2
values gini,0,2,0,0,0,0,2
values gini index,0,2,0,0,0,0,2
variable designs,0,0,0,2,0,0,2
variable estimated value positive,0,0,2,0,0,0,2
using synthetic,2,0,0,0,0,0,2
using simple multiple linear,0,0,2,0,0,0,2
use wealth,0,2,0,0,0,0,2
using monte,0,0,0,2,0,0,2
used instrumental,0,2,0,0,0,0,2
used literature,0,0,0,0,2,0,2
used modeling,0,0,2,0,0,0,2
user preferences,0,0,0,2,0,0,2
users kenya,0,0,2,0,0,0,2
users kenya nigeria,0,0,2,0,0,0,2
ushaped relationship,0,0,0,0,2,0,2
using cochrans,0,0,0,2,0,0,2
using cochrans formula,0,0,0,2,0,0,2
using control,0,2,0,0,0,0,2
using control function,0,2,0,0,0,0,2
using control function approach,0,2,0,0,0,0,2
using estimator,2,0,0,0,0,0,2
using monte carlo,0,0,0,2,0,0,2
using simple multiple,0,0,2,0,0,0,2
using monte carlo simulations,0,0,0,2,0,0,2
using nonlinear,2,0,0,0,0,0,2
using nonlinear dimension,2,0,0,0,0,0,2
using nonlinear dimension reduction,2,0,0,0,0,0,2
using nonlinear dimension reduction techniques,2,0,0,0,0,0,2
using novel,0,0,0,0,2,0,2
using panel data,2,0,0,0,0,0,2
using popular,0,0,0,0,0,2,2
using popular mathematical,0,0,0,0,0,2,2
using popular mathematical puzzles,0,0,0,0,0,2,2
using popular mathematical puzzles mathematical,0,0,0,0,0,2,2
using queries,0,0,0,2,0,0,2
using simple,0,0,2,0,0,0,2
structural var,0,0,0,0,2,0,2
structural parameters,0,0,0,0,0,2,2
structural models,0,0,0,0,0,2,2
reserve policy,0,0,0,2,0,0,2
return maximum pressure,0,0,0,0,2,0,2
returns ema,0,0,0,0,2,0,2
returns investments,0,0,0,0,2,0,2
reveal evidence,0,0,0,0,2,0,2
reveal evidence beyond,0,0,0,0,2,0,2
reveal evidence beyond average,0,0,0,0,2,0,2
reveal evidence beyond average effect,0,0,0,0,2,0,2
reveals direction,0,2,0,0,0,0,2
reveals structural,0,0,0,0,0,2,2
review metaanalysis,0,0,0,2,0,0,2
reward function,0,0,0,0,2,0,2
riesz regression covariate,0,0,0,0,0,2,2
riesz regression covariate balancing,0,0,0,0,0,2,2
riesz regression study,0,0,0,0,0,2,2
rights act,0,0,0,0,0,2,2
rigorously prove,0,2,0,0,0,0,2
riparian land,0,0,0,2,0,0,2
risk convergence,0,0,0,0,2,0,2
risk transfer,0,0,2,0,0,0,2
risks decumulation,0,0,0,2,0,0,2
riv coin,0,0,0,2,0,0,2
road infrastructure crime,0,2,0,0,0,0,2
robust design,0,0,2,0,0,0,2
robust design evaluation,0,0,2,0,0,0,2
robust design evaluation predictive,0,0,2,0,0,0,2
robust design evaluation predictive algorithms,0,0,2,0,0,0,2
robust estimation,0,0,2,0,0,0,2
robust estimator,0,2,0,0,0,0,2
robust heterogeneous,2,0,0,0,0,0,2
return maximum,0,0,0,0,2,0,2
retirement savings,0,0,0,2,0,0,2
retail competition,0,0,0,0,2,0,2
restricted convex,0,0,2,0,0,0,2
residential property,2,0,0,0,0,0,2
residential property value,2,0,0,0,0,0,2
residential property value catonsville,2,0,0,0,0,0,2
residential property value catonsville maryland,2,0,0,0,0,0,2
resilience agility,0,0,0,0,2,0,2
resilience agility analytical,0,0,0,0,2,0,2
resilience robustness,0,0,2,0,0,0,2
resource allocation,0,2,0,0,0,0,2
respect number,0,0,0,0,2,0,2
response curves,2,0,0,0,0,0,2
response effectiveness,0,0,0,0,0,2,2
response functions agents,0,0,0,0,2,0,2
rest population,2,0,0,0,0,0,2
restricted convex model,0,0,2,0,0,0,2
results two,0,2,0,0,0,0,2
restricted core,0,2,0,0,0,0,2
result gives,0,0,2,0,0,0,2
result gives new,0,0,2,0,0,0,2
results consistent,0,0,0,2,0,0,2
results obtained,0,0,0,2,0,0,2
results paper,0,2,0,0,0,0,2
results primarily,0,0,2,0,0,0,2
results primarily leverage,0,0,2,0,0,0,2
results provide,2,0,0,0,0,0,2
results robust,0,0,0,0,0,2,2
results shed,0,0,0,2,0,0,2
results shed light,0,0,0,2,0,0,2
results shed light relationship,0,0,0,2,0,0,2
robust heterogeneous effects,2,0,0,0,0,0,2
robust intervention,0,0,0,0,2,0,2
robust test statistics,0,0,0,0,2,0,2
selection mechanism,0,2,0,0,0,0,2
scientific research,0,0,0,2,0,0,2
scientists engineers,0,0,2,0,0,0,2
scoping study,0,0,0,0,2,0,2
scoreelevated reserve,0,0,0,2,0,0,2
scoreelevated reserve policy,0,0,0,2,0,0,2
screened schools,2,0,0,0,0,0,2
screening problem,0,0,0,0,0,2,2
search model,2,0,0,0,0,0,2
seasonally cointegrated,2,0,0,0,0,0,2
second firm,0,0,2,0,0,0,2
second half,0,0,0,2,0,0,2
second objective,0,0,0,0,2,0,2
selection assumptions,2,0,0,0,0,0,2
selection method,0,0,2,0,0,0,2
school assignment,2,0,0,0,0,0,2
selection stage,0,0,0,2,0,0,2
selectively observed,0,0,2,0,0,0,2
selfjustified equilibria,0,2,0,0,0,0,2
selfprogressive choice,0,0,2,0,0,0,2
selfprogressive choice models,0,0,2,0,0,0,2
selling mechanism,0,0,0,0,2,0,2
sem used,0,0,2,0,0,0,2
semarang city,0,0,2,0,0,0,2
semiparametric conditional,0,2,0,0,0,0,2
semiparametric model,0,0,2,0,0,0,2
semiparametric models,0,0,2,0,0,0,2
semisupervised learning,0,0,0,2,0,0,2
senders choice,0,0,0,0,0,2,2
school choice,0,0,2,0,0,0,2
scenario analysis,0,0,0,0,2,0,2
robustness shared,0,0,0,0,0,2,2
runup first announcement mergers,2,0,0,0,0,0,2
robustness shared infrastructure,0,0,0,0,0,2,2
robustness shared infrastructure systems,0,0,0,0,0,2,2
role global,0,0,0,2,0,0,2
role universities,0,2,0,0,0,0,2
role universities shaping,0,2,0,0,0,0,2
role universities shaping regional,0,2,0,0,0,0,2
role universities shaping regional innovation,0,2,0,0,0,0,2
rule law,0,0,0,2,0,0,2
rules standard,0,0,0,2,0,0,2
ruling elite,0,0,0,2,0,0,2
runoff voting,0,0,0,0,2,0,2
runup first,2,0,0,0,0,0,2
runup first announcement,2,0,0,0,0,0,2
rural india,0,2,0,0,0,0,2
scale suggesting eventual,2,0,0,0,0,0,2
safety power,0,0,0,0,2,0,2
safety power shutoffs,0,0,0,0,2,0,2
safety power shutoffs psps,0,0,0,0,2,0,2
sample size smaller,2,0,0,0,0,0,2
sample splitting,2,0,0,0,0,0,2
sampling equilibrium,0,0,2,0,0,0,2
san juan,0,0,0,0,0,2,2
sanitation practices,0,0,0,2,0,0,2
satisfaction choice,0,0,0,0,2,0,2
saturation period,2,0,0,0,0,0,2
saving programs,0,2,0,0,0,0,2
scale developed,0,0,2,0,0,0,2
scale suggesting,2,0,0,0,0,0,2
residential adoption,0,2,0,0,0,0,2
reservation system,0,0,0,2,0,0,2
sensing weather,2,0,0,0,0,0,2
researchers often,0,0,0,0,0,2,2
ratio conditional expectation,0,0,2,0,0,0,2
ratio conditional expectation functions,0,0,2,0,0,0,2
ratio estimation,0,0,0,0,0,2,2
ratio estimation riesz,0,0,0,0,0,2,2
ratio estimation riesz regression,0,0,0,0,0,2,2
ratio foreign assets,0,0,0,0,2,0,2
ratio income,0,2,0,0,0,0,2
ratio income share,0,2,0,0,0,0,2
rationality levels,0,0,2,0,0,0,2
reactions war,2,0,0,0,0,0,2
reactor concepts,0,0,0,0,2,0,2
realized business,0,0,2,0,0,0,2
realized business time,0,0,2,0,0,0,2
realized variance,0,0,2,0,0,0,2
reasoning llms,0,0,0,0,2,0,2
receives negative,2,0,0,0,0,0,2
receives negative social,2,0,0,0,0,0,2
receives negative social recognition,2,0,0,0,0,0,2
receives payout fund,0,0,0,0,0,2,2
receives positive,2,0,0,0,0,0,2
recent developments,0,0,0,0,2,0,2
recently proposed,0,0,0,2,0,0,2
recession covid,0,0,0,0,2,0,2
recession covid pandemic,0,0,0,0,2,0,2
recognition results,2,0,0,0,0,0,2
recommendation algorithms,0,0,0,2,0,0,2
recommends treatment,0,0,0,0,0,2,2
reconstructing firmtofirm,0,0,0,0,2,0,2
reconstructing firmtofirm networks,0,0,0,0,2,0,2
ratio conditional,0,0,2,0,0,0,2
rates nested npiv,0,2,0,0,0,0,2
rates nested,0,2,0,0,0,0,2
rankdependent utility,0,0,0,0,2,0,2
random rankdependent,0,2,0,0,0,0,2
random rankdependent expected,0,2,0,0,0,0,2
random rankdependent expected utility,0,2,0,0,0,0,2
random utility,0,2,0,0,0,0,2
random variation,0,2,0,0,0,0,2
randomization designs,0,2,0,0,0,0,2
randomized experiments network,2,0,0,0,0,0,2
randomized experiments network interference,2,0,0,0,0,0,2
randomized experiments network interference noncompliance,2,0,0,0,0,0,2
randomly assigned,2,0,0,0,0,0,2
randomly selected,0,0,0,2,0,0,2
rankdependent expected,0,2,0,0,0,0,2
rankdependent expected utility,0,2,0,0,0,0,2
rankdependent utility model,0,0,0,0,2,0,2
rates convergence,2,0,0,0,0,0,2
ranked choice voting,0,0,0,0,2,0,2
rapid entrepreneurs,0,0,0,2,0,0,2
rapid entrepreneurs entrepreneursinwaiting,0,0,0,2,0,0,2
rapid rebound,0,0,0,0,2,0,2
rate economic,2,0,0,0,0,0,2
rate economic growth,2,0,0,0,0,0,2
rate money,0,2,0,0,0,0,2
rate money supply,0,2,0,0,0,0,2
rate national,2,0,0,0,0,0,2
rate national savings,2,0,0,0,0,0,2
rate national savings rate,2,0,0,0,0,0,2
rate term,0,0,2,0,0,0,2
rate term structure,0,0,2,0,0,0,2
recovery consumer,2,0,0,0,0,0,2
recovery consumer spending,2,0,0,0,0,0,2
redemption curve,0,0,2,0,0,0,2
repeated stochastic choice,0,2,0,0,0,0,2
relatively low,0,0,0,2,0,0,2
relevant applications,2,0,0,0,0,0,2
remainder groups,0,0,0,0,0,2,2
remote sensing weather,2,0,0,0,0,0,2
remote sensing weather data,2,0,0,0,0,0,2
renewable energy facilities,0,0,0,0,2,0,2
renewable energy materials,2,0,0,0,0,0,2
renewable energy materials economy,2,0,0,0,0,0,2
renewable nonrenewable,0,0,2,0,0,0,2
repeated consumer search model,2,0,0,0,0,0,2
repeated crosssectional,0,0,0,0,0,2,2
repeated crosssectional data,0,0,0,0,0,2,2
repeated stochastic,0,2,0,0,0,0,2
reported cases,2,0,0,0,0,0,2
relationship performance drivers number overtime,0,2,0,0,0,0,2
representation theorems,0,0,0,2,0,0,2
representative survey,0,2,0,0,0,0,2
reproduction ratio,2,0,0,0,0,0,2
required data,0,0,0,2,0,0,2
required data collected,0,0,0,2,0,0,2
research development,0,0,2,0,0,0,2
research effort,0,0,0,2,0,0,2
research practical,0,0,0,2,0,0,2
research practical required,0,0,0,2,0,0,2
research practical required data,0,0,0,2,0,0,2
research practical required data collected,0,0,0,2,0,0,2
research slums,0,0,0,0,2,0,2
research subject,0,0,0,0,2,0,2
relative price,0,0,0,2,0,0,2
relationship performance drivers number,0,2,0,0,0,0,2
reduction number,0,0,2,0,0,0,2
regression adjustment,0,0,0,0,0,2,2
reduction number children,0,0,2,0,0,0,2
reduction number children deported,0,0,2,0,0,0,2
reduction techniques,2,0,0,0,0,0,2
refer strategy,0,0,0,2,0,0,2
referrals also,2,0,0,0,0,0,2
regional effects,0,0,0,0,0,2,2
regional gdp,0,0,0,2,0,0,2
regional growth,0,2,0,0,0,0,2
regional innovation policy,0,2,0,0,0,0,2
regional reactions,2,0,0,0,0,0,2
regional reactions war,2,0,0,0,0,0,2
regions enlarged,0,2,0,0,0,0,2
registration system citizenship,0,2,0,0,0,0,2
regression covariate,0,0,0,0,0,2,2
relationship performance drivers,0,2,0,0,0,0,2
regression covariate balancing,0,0,0,0,0,2,2
regression setting,0,2,0,0,0,0,2
regression study,0,0,0,0,0,2,2
regression techniques,2,0,0,0,0,0,2
regulating insider,2,0,0,0,0,0,2
regulating insider trading,2,0,0,0,0,0,2
regulation variable,0,0,2,0,0,0,2
relationship covariates,0,0,0,0,0,2,2
relationship covariates potential,0,0,0,0,0,2,2
relationship covariates potential outcomes,0,0,0,0,0,2,2
relationship digitalization organizational,0,2,0,0,0,0,2
relationship digitalization organizational agility,0,2,0,0,0,0,2
relationship performance,0,2,0,0,0,0,2
senders choice experiment,0,0,0,0,0,2,2
sensing weather data,2,0,0,0,0,0,2
structural errors,0,0,2,0,0,0,2
social media engagement,0,0,2,0,0,0,2
specifically first,0,0,0,0,2,0,2
specification test,0,0,2,0,0,0,2
specification test semiparametric,0,0,2,0,0,0,2
specification test semiparametric models,0,0,2,0,0,0,2
spectral postspectral,0,0,2,0,0,0,2
spectral postspectral estimators,0,0,2,0,0,0,2
spectral postspectral estimators grouped,0,0,2,0,0,0,2
spectral postspectral estimators grouped panel,0,0,2,0,0,0,2
spending growth,2,0,0,0,0,0,2
spot gig,0,0,0,0,2,0,2
spot gig work,0,0,0,0,2,0,2
spot volatility,0,2,0,0,0,0,2
spot work,0,0,0,0,2,0,2
squared error,0,0,0,0,0,2,2
squareroot lasso,0,0,0,0,0,2,2
squares density,0,0,0,0,0,2,2
squares density ratio,0,0,0,0,0,2,2
squares density ratio estimation,0,0,0,0,0,2,2
squares density ratio estimation riesz,0,0,0,0,0,2,2
stability bifurcation,0,2,0,0,0,0,2
stability cournot,0,2,0,0,0,0,2
stability icps,0,0,0,0,0,2,2
stability matching,0,0,0,0,0,2,2
stability regions,0,2,0,0,0,0,2
stability regions enlarged,0,2,0,0,0,0,2
stability testing,0,0,0,0,0,2,2
stage bids,0,0,0,0,0,2,2
standard deviations,0,0,0,2,0,0,2
standard llms,0,0,0,0,2,0,2
specifically find,0,2,0,0,0,0,2
special case,0,0,0,0,0,2,2
spatial treatment effects,0,0,0,0,0,2,2
south korean fdi kazakhstan,0,0,2,0,0,0,2
social problems,0,0,2,0,0,0,2
social recognition results,2,0,0,0,0,0,2
social returns,0,0,0,2,0,0,2
social returns science,0,0,0,2,0,0,2
social sciences,0,0,0,0,2,0,2
socioeconomic impacts,0,0,0,0,2,0,2
socioeconomic impacts space,0,0,0,0,2,0,2
socioeconomic impacts space weather,0,0,0,0,2,0,2
soil conservation,0,0,0,2,0,0,2
solico pemina,0,0,0,2,0,0,2
solution method,0,2,0,0,0,0,2
south korea,0,2,0,0,0,0,2
south korean fdi,0,0,2,0,0,0,2
south korean fdi kazakhstan russia,0,0,2,0,0,0,2
spatial interdependence,0,0,0,0,0,2,2
sovereign debt,2,0,0,0,0,0,2
sovereign debt crises,2,0,0,0,0,0,2
space weather hazards,0,0,0,0,2,0,2
space weather scenarios,0,0,0,0,2,0,2
sparse matrix,0,2,0,0,0,0,2
sparse var,0,2,0,0,0,0,2
sparsity problem,0,2,0,0,0,0,2
spatial autoregressive,0,0,0,0,0,2,2
spatial autoregressive models,0,0,0,0,0,2,2
spatial boundaries,0,0,0,0,0,2,2
spatial boundaries emergency,0,0,0,0,0,2,2
spatial externalities,0,2,0,0,0,0,2
spatial interaction,0,0,0,0,2,0,2
standard setting,0,0,0,2,0,0,2
starting business,0,0,0,2,0,0,2
startup companies investors,0,2,0,0,0,0,2
strategyproofness deems manipulation,0,0,0,0,2,0,2
stochastic volatility,0,0,2,0,0,0,2
stopping policy,2,0,0,0,0,0,2
strategic bidding,0,0,2,0,0,0,2
strategic learning,0,0,0,0,0,2,2
strategic orientation,0,0,2,0,0,0,2
strategic orientation variable,0,0,2,0,0,0,2
strategic reasoning capabilities,0,0,0,0,2,0,2
strategies decumulation,0,0,0,2,0,0,2
strategies decumulation retirement,0,0,0,2,0,0,2
strategies decumulation retirement savings,0,0,0,2,0,0,2
strategyproof mechanisms,0,0,0,0,2,0,2
strategyproof sdss,0,0,0,0,2,0,2
strategyproofness deems,0,0,0,0,2,0,2
strategyproofness deems manipulation successful,0,0,0,0,2,0,2
stochastic production,0,0,0,2,0,0,2
strategyproofness deems manipulation successful increases,0,0,0,0,2,0,2
streaming platforms,0,0,0,0,0,2,2
streaming services demand,2,0,0,0,0,0,2
street view,0,0,0,0,0,2,2
strictly suboptimal,0,2,0,0,0,0,2
strong performance,0,0,2,0,0,0,2
strong rationality,0,0,0,2,0,0,2
strong rationality assumptions,0,0,0,2,0,0,2
structural equation modeling,0,2,0,0,0,0,2
structural equation modelling,0,0,2,0,0,0,2
structural equation modelling sem,0,0,2,0,0,0,2
structural equation modelling sem used,0,0,2,0,0,0,2
structural equation models,2,0,0,0,0,0,2
stochastic production frontier,0,0,0,2,0,0,2
stochastic process,0,2,0,0,0,0,2
startup ecosystem rankings,0,2,0,0,0,0,2
statistically significant impact family size,0,0,2,0,0,0,2
startup ecosystems,0,2,0,0,0,0,2
state capacity,0,0,0,0,0,2,2
state capacity innovation,0,0,0,0,0,2,2
state capacity innovation endogenous,0,0,0,0,0,2,2
state capacity innovation endogenous development,0,0,0,0,0,2,2
state constraints,0,0,0,2,0,0,2
stateoftheart methods,0,0,0,0,2,0,2
statespace mixedfrequency,0,2,0,0,0,0,2
statistical efficiency,0,0,0,0,0,2,2
statistical features,0,0,0,0,0,2,2
statistical methods,0,0,0,0,0,2,2
statistically significant impact,0,0,2,0,0,0,2
statistically significant impact family,0,0,2,0,0,0,2
status quo proposed,0,0,0,0,2,0,2
stochastic learning inference overidentified models,0,0,0,0,0,2,2
status quo proposed policy,0,0,0,0,2,0,2
steady state,0,0,0,2,0,0,2
stereotypical grading practices less,0,0,2,0,0,0,2
