,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
social networks,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,16,5,9,12,6,9,11,6,8,16,7,20,29,11,5,20,7,5,215
dna methylation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,13,12,18,10,36,23,19,12,8,10,14,22,214
high dimensional,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,13,11,30,20,13,22,10,22,14,18,22,7,214
signaling pathways,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,9,9,13,5,12,9,14,7,8,11,16,31,19,5,12,11,15,214
neuronal network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,10,8,8,8,15,11,20,21,19,20,10,20,6,11,10,213
neural population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,7,25,6,8,7,7,21,26,17,28,36,213
sensitivity specificity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,18,17,21,34,19,16,18,26,24,212
could used,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,8,13,12,8,10,14,16,20,24,17,16,16,19,8,212
predictive coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,16,18,40,32,36,22,34,212
experimental design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,20,9,12,11,12,15,17,12,22,22,21,21,211
feedback loops,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,13,6,13,10,15,9,4,23,20,10,4,8,18,7,5,5,8,8,11,211
disease dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,6,7,16,8,8,9,9,28,18,13,20,26,29,211
spike train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,4,11,15,13,17,20,12,16,18,5,17,0,3,12,10,11,211
information transmission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,12,7,6,8,9,5,14,17,7,16,14,16,7,11,20,12,16,211
learning algorithm,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,5,5,4,14,9,17,15,25,22,15,28,19,20,211
model model,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,3,0,5,16,7,11,9,14,14,11,13,10,22,9,12,14,18,10,210
mathematical analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,3,5,8,6,5,9,8,12,18,14,12,13,19,12,15,13,14,9,210
loss function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,9,22,18,27,33,40,47,210
field theory,0,0,0,0,0,0,0,0,0,11,3,0,7,6,5,0,0,4,5,8,19,12,13,7,8,7,11,6,14,9,11,26,9,8,209
phase separation,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,7,0,3,3,0,6,12,10,11,9,23,26,26,20,16,30,209
firing rates,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,4,9,4,15,12,26,17,12,13,11,16,17,7,17,19,209
brownian motion,0,0,0,0,0,0,0,0,0,0,3,3,0,4,11,9,6,7,3,9,17,13,11,13,6,6,5,12,8,14,13,5,12,19,209
supervised learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,4,9,15,16,12,31,19,19,26,25,20,209
study propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,4,13,10,23,13,26,29,31,40,208
graph theory,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,6,5,14,4,14,23,14,16,18,20,12,5,15,18,14,208
models show,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,11,5,0,8,5,12,14,9,10,10,24,14,15,17,19,25,208
foundation model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,50,128,207
living organisms,0,0,0,0,0,0,0,0,0,0,0,4,3,12,5,3,0,7,5,4,4,12,8,14,9,8,10,16,16,8,11,18,15,15,207
random walks,0,0,0,0,0,0,0,4,0,0,0,4,0,5,5,5,5,7,5,5,16,9,7,11,5,7,12,7,11,23,21,0,9,24,207
data used,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,6,0,8,8,8,10,12,30,23,18,28,22,23,207
first passage,0,0,0,0,0,0,0,0,0,0,0,7,0,13,8,5,6,4,0,10,11,5,15,18,13,6,5,18,15,8,12,13,5,10,207
existing models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,8,8,0,5,9,6,18,15,11,22,43,51,207
prostate cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,16,4,0,0,30,21,11,9,24,55,26,206
functional networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,14,5,23,14,19,22,12,25,12,9,16,21,206
novel framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,0,5,4,5,8,9,14,12,55,82,206
model proposed,0,0,0,0,0,0,0,3,0,0,0,5,6,7,5,5,3,4,7,4,4,5,13,8,8,17,5,6,34,15,10,14,13,5,206
structural functional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,8,14,0,9,10,11,7,15,14,27,19,27,37,206
markov models,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,12,13,16,14,11,18,10,14,22,10,0,12,7,5,9,12,10,206
approach using,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,6,5,4,4,7,6,6,18,8,14,14,12,19,21,28,23,206
unsupervised learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,22,10,17,17,31,20,20,17,17,19,206
within framework,0,0,0,0,0,0,0,0,0,0,4,0,0,7,7,4,7,5,6,5,10,4,6,7,14,5,13,6,17,18,10,14,17,20,206
next generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,9,15,15,5,9,16,28,12,18,14,14,24,206
single cells,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,8,4,5,10,11,18,10,12,17,17,18,13,15,10,16,10,205
molecular biology,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,6,4,6,6,9,5,14,10,16,9,5,13,11,15,11,6,8,10,25,205
molecule generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,55,72,41,205
data model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,7,6,5,10,9,7,8,11,23,15,16,24,22,29,205
exponential growth,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,10,14,11,11,17,8,4,50,16,13,13,16,12,205
also demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,6,6,5,8,10,11,16,6,17,19,12,19,18,26,15,205
without need,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,0,6,5,8,6,8,5,7,11,10,20,18,14,21,30,22,205
also present,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,8,6,0,13,9,11,11,15,13,13,7,9,11,18,6,7,13,9,12,204
quantitative analysis,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,8,8,6,8,5,6,7,6,5,11,22,19,14,20,25,24,204
networks using,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,0,10,9,11,4,8,11,10,15,15,14,31,14,9,17,9,204
model shows,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,7,5,7,0,9,5,16,9,8,5,8,11,13,19,13,14,9,12,20,204
computational efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,6,11,6,6,13,14,13,22,35,57,204
healthy controls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,9,14,18,11,11,39,32,28,27,204
cell differentiation,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,6,14,13,9,15,6,8,17,12,10,5,21,18,17,204
predictive performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,16,14,13,25,17,33,73,204
collective behavior,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,6,7,9,7,17,7,10,9,18,22,6,15,10,13,16,8,14,204
approach allows,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,3,3,10,9,7,9,15,8,10,10,10,12,15,16,17,20,16,203
large numbers,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,5,5,9,4,11,9,8,6,12,11,18,14,18,16,7,16,9,12,203
challenging due,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,16,6,12,24,49,76,203
probability density,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,7,6,8,8,8,12,14,10,8,14,5,3,7,10,13,16,15,8,13,203
spiking activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,4,0,9,10,8,11,21,14,19,6,15,15,18,10,10,21,203
precision medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,13,19,27,11,19,32,59,203
paper introduces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,5,0,6,7,7,8,4,11,11,8,29,45,45,203
experimental studies,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,5,0,4,7,12,10,10,5,12,16,11,14,13,18,15,7,11,13,10,202
molecular mechanisms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,6,12,7,12,11,10,20,10,19,12,12,15,20,29,202
integrated information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,25,31,22,20,7,13,9,13,14,23,202
native state,0,0,3,0,0,0,11,12,17,11,13,7,8,10,10,6,10,4,4,6,6,12,3,3,11,0,3,4,6,11,7,4,0,0,202
genomewide association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,19,22,16,6,13,12,7,19,12,10,12,14,15,12,202
obtained using,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,5,4,6,5,7,6,13,10,9,9,15,7,21,17,14,14,10,13,4,202
one another,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,4,0,0,9,14,8,11,6,16,12,12,14,15,16,13,10,14,14,201
data collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,10,10,14,28,19,22,25,26,30,201
electric field,0,0,0,0,0,0,0,4,0,0,0,6,4,0,0,3,5,5,7,0,23,14,5,5,13,5,12,13,24,21,11,4,8,8,200
also used,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,7,8,7,8,7,13,15,15,14,30,15,12,13,12,13,200
address problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,6,4,14,16,10,7,13,7,14,20,11,13,19,16,11,199
random networks,0,0,0,0,0,0,0,0,3,0,0,9,7,6,12,8,7,9,14,10,0,14,15,9,12,10,9,16,11,4,0,8,6,0,199
system size,0,0,0,0,0,0,0,4,3,0,6,4,0,5,5,7,10,9,12,11,9,13,14,9,13,6,11,12,11,3,6,6,7,3,199
experiments demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,6,11,7,23,24,59,58,199
electron microscopy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,9,11,6,11,6,11,12,16,16,23,26,25,17,199
learning method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,9,16,20,20,31,30,36,21,198
fixation probability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,9,10,12,18,22,19,17,12,6,0,16,10,17,13,198
microbial communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,12,20,7,11,11,15,13,19,19,12,17,22,198
critical role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,5,5,4,4,4,12,12,11,12,10,18,34,52,197
method used,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,8,9,9,12,13,17,6,13,12,15,10,13,13,16,7,197
however current,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,3,6,6,4,15,18,29,46,54,197
computationally expensive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,3,15,10,10,11,12,16,17,24,30,35,197
demonstrate effectiveness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,8,8,0,16,15,17,41,32,40,197
transmission dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,6,7,9,6,47,22,22,16,18,30,196
logistic regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,8,18,17,12,10,12,30,35,38,196
model includes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,7,5,14,9,6,10,10,11,6,18,18,15,17,11,14,8,196
temporal dynamics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,9,17,6,10,11,11,11,9,17,28,45,196
different species,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,4,7,4,9,9,12,9,14,11,15,20,13,8,5,6,14,15,11,196
learning rules,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,7,10,8,14,17,11,32,23,12,10,21,21,195
study dynamics,0,0,0,0,0,3,0,3,0,0,0,5,0,4,3,3,9,8,9,9,6,6,7,14,12,15,10,12,14,9,11,6,10,7,195
neural responses,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,9,0,0,22,11,5,11,9,11,12,7,20,26,38,195
current methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,9,8,11,9,11,15,8,7,11,25,35,36,195
using two,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,4,0,0,4,5,4,12,11,7,12,13,20,15,13,23,22,17,194
particular show,0,0,0,0,0,0,0,0,0,0,4,5,0,5,4,3,3,3,7,6,9,6,17,9,9,19,14,13,11,10,12,6,7,12,194
computational neuroscience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,0,10,3,11,12,9,5,22,20,11,19,21,37,194
using model,0,0,0,0,0,0,0,0,3,0,5,4,0,0,3,5,9,6,6,0,7,7,5,12,13,5,5,12,21,17,10,13,9,17,194
show method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,9,14,11,10,12,12,8,13,12,23,24,21,13,194
taken together,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,8,11,16,14,19,17,12,13,13,19,12,23,194
data however,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,9,13,11,8,8,23,13,16,16,26,26,16,194
inverse problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,8,8,10,22,13,10,12,21,12,13,12,20,17,193
symmetry breaking,0,0,0,0,0,6,0,0,13,0,0,0,0,0,11,7,9,4,4,14,14,11,0,6,4,10,16,10,14,15,6,11,4,4,193
plays important,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,9,8,8,8,11,10,9,9,19,14,15,16,14,14,14,5,193
cancer types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,10,10,8,15,31,14,14,13,21,16,30,193
stochastic processes,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,6,0,5,11,19,8,12,13,9,7,8,17,15,15,14,10,5,193
major challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,8,7,12,9,12,16,10,10,12,15,13,17,41,193
proposed framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,13,20,15,16,25,28,30,30,193
early detection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,8,11,19,17,8,32,23,61,193
genetic variation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,15,11,43,18,8,6,16,6,6,4,10,8,0,15,6,193
community structure,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,9,13,6,13,12,13,5,11,15,20,6,10,12,7,9,6,14,192
membrane potential,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,6,4,9,4,0,7,19,17,12,13,5,11,9,13,15,6,9,10,192
population model,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,5,9,4,14,8,13,8,11,10,10,17,19,11,5,9,7,19,192
based model,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,6,5,7,8,4,9,11,5,12,8,18,13,11,13,14,10,8,7,14,192
structural properties,0,0,0,0,0,0,0,0,0,4,0,0,0,8,5,4,3,4,6,8,3,8,11,10,13,8,11,13,13,12,6,15,11,16,192
model describe,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,4,8,7,7,7,6,12,3,11,9,8,13,27,20,8,11,11,6,192
carrying capacity,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,5,16,6,9,24,7,3,11,9,15,12,12,13,12,7,21,191
negative feedback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,12,11,13,8,4,26,15,11,7,6,11,6,6,5,6,7,9,191
brain areas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,4,6,7,27,15,10,13,23,8,15,17,21,15,191
model captures,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,5,6,3,3,5,5,4,8,7,13,14,9,18,8,6,15,15,38,191
provide insights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,4,6,12,8,5,11,22,20,17,22,33,20,191
significant differences,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,7,9,5,5,6,11,12,27,14,10,21,25,28,190
critical value,0,0,0,0,0,0,0,0,5,0,0,10,5,5,6,8,7,5,7,9,13,7,10,8,12,5,15,5,9,18,7,9,0,5,190
work introduce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,9,0,6,7,12,10,17,25,35,53,189
computational framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,10,9,7,8,6,7,9,15,18,16,25,52,189
model results,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,5,7,3,5,6,10,8,11,8,11,12,20,11,15,13,13,18,189
expression profiles,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,6,0,5,7,3,9,5,15,14,6,16,10,7,7,11,9,19,24,188
model able,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,0,5,5,7,11,8,9,6,10,12,9,11,18,13,15,23,6,8,188
method applied,0,0,0,0,0,0,0,0,3,0,3,3,0,0,4,5,4,0,0,3,8,17,8,13,8,11,12,12,16,8,15,12,13,10,188
braincomputer interfaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,16,4,14,6,24,21,28,49,188
markov model,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,7,4,7,15,7,12,7,13,10,14,9,11,4,10,8,5,9,10,7,188
models often,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,8,0,9,7,12,11,11,18,43,58,187
covid epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,25,20,0,0,5,187
used predict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,6,4,4,5,0,8,12,6,17,14,31,17,11,16,15,11,187
evolutionary biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,15,5,20,13,16,11,9,13,7,6,7,10,9,15,19,187
evolutionary process,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,6,0,8,10,11,23,11,14,9,6,11,11,5,13,5,7,12,8,187
analysis using,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,7,10,10,7,11,13,12,12,22,14,16,34,187
models also,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,6,7,12,8,10,3,9,6,11,20,9,20,8,21,24,187
statistical methods,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,9,6,3,17,10,12,11,13,9,9,6,10,16,13,19,12,187
using machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,14,26,22,23,26,33,22,186
apply method,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,6,7,5,10,18,9,9,3,5,6,17,8,21,18,19,15,186
neural populations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,9,3,0,6,13,8,14,14,7,11,9,18,19,42,186
also found,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,5,3,3,9,9,12,5,11,15,9,11,9,15,19,6,14,12,9,186
number species,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,6,5,5,5,6,9,12,7,5,11,17,17,6,10,12,13,11,10,8,185
understanding brain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,16,8,5,13,14,13,18,15,41,29,185
uncertainty quantification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,23,10,15,15,24,44,41,185
gene transfer,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,7,4,10,0,25,16,6,11,7,9,7,12,14,10,5,10,9,8,185
among different,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,4,0,3,6,7,7,12,10,9,11,26,19,19,20,11,7,185
traditional methods,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,10,5,10,13,29,45,51,185
structured populations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,6,13,10,25,10,11,10,10,7,8,5,0,21,12,19,185
visual stimuli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,15,12,8,9,15,6,9,23,41,26,184
phase space,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,6,0,0,5,15,14,10,9,11,7,14,9,8,10,9,11,11,10,11,184
model describing,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,4,4,7,5,7,7,13,11,16,8,9,10,16,21,8,8,11,6,3,184
predictive power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,4,7,8,6,10,8,7,10,21,11,15,19,24,24,184
special case,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,5,3,3,7,7,12,9,7,11,12,5,10,12,12,14,8,9,7,16,184
primary visual,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,0,8,0,11,8,12,5,14,13,12,0,18,14,16,24,15,184
experimental evidence,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,0,0,9,5,8,6,11,11,10,12,18,17,7,7,14,8,7,12,184
model developed,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,5,7,10,7,3,12,7,7,13,14,9,10,8,13,12,19,14,184
food webs,0,0,0,0,0,0,0,0,4,6,0,0,14,9,0,0,6,15,19,6,13,9,23,16,16,0,9,0,0,0,0,5,5,9,184
computational approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,5,9,4,9,5,9,11,6,19,8,11,26,21,31,184
present paper,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,10,6,7,8,11,9,5,8,5,8,18,12,22,8,9,9,9,7,184
data sources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,10,7,11,16,20,21,16,38,27,183
selfsupervised learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,47,31,34,40,183
rnaseq data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,19,21,9,12,9,14,8,11,6,8,17,21,17,183
information content,0,0,0,0,0,0,0,4,0,0,0,3,0,0,6,4,6,6,4,11,11,6,16,10,14,7,10,5,11,15,6,12,7,9,183
training set,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,9,6,5,0,3,5,16,17,11,23,27,31,19,183
modeling framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,6,7,8,9,10,8,12,13,16,17,8,25,30,182
may used,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,8,12,4,4,9,9,11,11,10,11,13,17,18,12,6,12,6,182
braincomputer interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,18,8,4,10,11,11,13,17,20,25,31,182
feedback loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,8,10,7,10,11,13,12,14,4,6,6,8,16,7,8,9,0,12,182
propose method,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,3,5,0,6,8,4,9,7,8,9,15,22,12,24,14,13,9,182
bridge gap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,6,10,8,5,8,18,19,41,54,182
biochemical networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,12,10,6,11,12,6,19,20,4,9,4,5,6,5,6,9,9,9,182
positive feedback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,8,10,5,13,14,5,23,7,9,11,7,13,5,8,5,5,9,6,182
networks show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,6,9,8,4,7,11,9,13,13,6,14,16,14,13,3,6,12,182
birth death,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,4,5,7,11,10,14,15,11,5,10,6,9,7,8,6,15,12,12,181
real world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,8,7,4,16,5,9,24,22,20,14,13,28,181
together results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,4,6,8,11,14,12,17,14,9,8,15,11,9,33,181
model dynamics,0,0,0,0,0,0,3,3,0,0,3,0,0,6,0,6,0,0,6,3,6,10,6,9,10,16,11,12,25,7,7,5,12,15,181
data augmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,18,24,30,17,27,40,181
study effect,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,6,9,7,4,11,10,9,10,6,10,16,11,17,12,4,11,8,7,180
upper bound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,7,3,5,9,4,5,9,17,8,15,15,16,10,13,13,7,9,180
